,inflow,,,
6/29,6889,,,
7/29,129689,,,
8/29,155334,,,
9/29,137943,,,
10/29,19145,,,
11/29,8510,,,
12/29,9991,,,
1/30,15117,,,
2/30,17413,,,
3/30,34963,,,
4/30,38255,,,
5/30,29201,,,
6/30,6996,,,
7/30,65036,,,
8/30,133579,,,
9/30,33824,,,
10/30,17637,,,
11/30,21075,,,
12/30,18222,,,
1/31,15898,,,
2/31,32364,,,
3/31,40653,,,
4/31,20879,,,
5/31,18155,,,
6/31,3589,,,
7/31,30060,,,
8/31,66210,,,
9/31,24716,,,
10/31,21874,,,
11/31,36505,,,
12/31,19867,,,
1/32,20528,,,
2/32,253637,,,
3/32,206404,,,
4/32,132179,,,
5/32,73850,,,
6/32,20694,,,
7/32,30804,,,
8/32,100882,,,
9/32,11813,,,
10/32,13667,,,
11/32,10993,,,
12/32,16848,,,
1/33,14806,,,
2/33,22413,,,
3/33,42266,,,
4/33,29394,,,
5/33,29548,,,
6/33,7000,,,
7/33,30466,,,
8/33,28499,,,
9/33,37495,,,
10/33,40866,,,
11/33,9548,,,
12/33,15149,,,
1/34,14531,,,
2/34,11952,,,
3/34,9665,,,
4/34,5362,,,
5/34,6625,,,
6/34,5135,,,
7/34,7128,,,
8/34,32502,,,
9/34,13887,,,
10/34,5517,,,
11/34,7534,,,
12/34,14436,,,
1/35,36587,,,
2/35,45396,,,
3/35,59023,,,
4/35,116915,,,
5/35,35286,,,
6/35,8342,,,
7/35,6049,,,
8/35,49899,,,
9/35,31418,,,
10/35,6116,,,
11/35,8414,,,
12/35,12767,,,
1/36,10334,,,
2/36,24199,,,
3/36,38515,,,
4/36,72047,,,
5/36,9775,,,
6/36,4179,,,
7/36,33207,,,
8/36,71284,,,
9/36,53899,,,
10/36,13603,,,
11/36,18943,,,
12/36,12816,,,
1/37,9946,,,
2/37,160337,,,
3/37,169755,,,
4/37,147522,,,
5/37,49269,,,
6/37,9247,,,
7/37,16629,,,
8/37,9722,,,
9/37,20001,,,
10/37,13633,,,
11/37,9481,,,
12/37,17071,,,
1/38,18742,,,
2/38,20421,,,
3/38,236253,,,
4/38,62587,,,
5/38,44876,,,
6/38,7690,,,
7/38,5104,,,
8/38,24794,,,
9/38,28490,,,
10/38,8482,,,
11/38,12401,,,
12/38,15452,,,
1/39,17004,,,
2/39,15526,,,
3/39,54453,,,
4/39,59731,,,
5/39,8945,,,
6/39,3805,,,
7/39,3697,,,
8/39,7456,,,
9/39,71551,,,
10/39,10049,,,
11/39,8754,,,
12/39,10862,,,
1/40,23273,,,
2/40,47591,,,
3/40,32992,,,
4/40,21662,,,
5/40,5903,,,
6/40,3445,,,
7/40,16713,,,
8/40,55088,,,
9/40,106965,,,
10/40,34683,,,
11/40,20687,,,
12/40,45836,,,
1/41,79076,,,
2/41,117031,,,
3/41,216332,,,
4/41,185361,,,
5/41,227537,,,
6/41,23924,,,
7/41,28520,,,
8/41,50480,,,
9/41,40171,,,
10/41,87542,,,
11/41,23856,,,
12/41,21737,,,
1/42,28294,,,
2/42,23638,,,
3/42,42923,,,
4/42,106768,,,
5/42,35073,,,
6/42,5265,,,
7/42,5207,,,
8/42,10987,,,
9/42,4629,,,
10/42,10924,,,
11/42,11824,,,
12/42,12658,,,
1/43,19845,,,
2/43,30032,,,
3/43,96307,,,
4/43,48678,,,
5/43,11849,,,
6/43,4160,,,
7/43,4459,,,
8/43,36030,,,
9/43,21022,,,
10/43,13911,,,
11/43,11050,,,
12/43,14295,,,
1/44,14276,,,
2/44,16799,,,
3/44,55294,,,
4/44,105715,,,
5/44,76810,,,
6/44,11127,,,
7/44,4152,,,
8/44,4425,,,
9/44,13585,,,
10/44,7572,,,
11/44,14702,,,
12/44,13559,,,
1/45,12843,,,
2/45,24201,,,
3/45,40771,,,
4/45,94457,,,
5/45,46375,,,
6/45,4914,,,
7/45,15627,,,
8/45,69079,,,
9/45,10771,,,
10/45,24841,,,
11/45,11431,,,
12/45,15262,,,
1/46,18536,,,
2/46,13424,,,
3/46,15993,,,
4/46,15817,,,
5/46,4837,,,
6/46,4145,,,
7/46,18669,,,
8/46,78229,,,
9/46,48762,,,
10/46,40782,,,
11/46,50373,,,
12/46,28669,,,
1/47,19650,,,
2/47,22487,,,
3/47,21284,,,
4/47,16747,,,
5/47,17324,,,
6/47,4536,,,
7/47,4991,,,
8/47,129794,,,
9/47,24921,,,
10/47,86124,,,
11/47,11064,,,
12/47,17113,,,
1/48,15292,,,
2/48,21894,,,
3/48,33249,,,
4/48,88391,,,
5/48,11402,,,
6/48,5712,,,
7/48,9925,,,
8/48,29502,,,
9/48,6928,,,
10/48,11291,,,
11/48,12911,,,
12/48,13207,,,
1/49,31854,,,
2/49,30124,,,
3/49,118111,,,
4/49,110471,,,
5/49,34448,,,
6/49,16777,,,
7/49,16677,,,
8/49,46749,,,
9/49,20105,,,
10/49,16251,,,
11/49,12230,,,
12/49,14645,,,
1/50,16843,,,
2/50,29468,,,
3/50,29564,,,
4/50,19529,,,
5/50,6768,,,
6/50,4252,,,
7/50,22179,,,
8/50,7315,,,
9/50,8536,,,
10/50,5233,,,
11/50,9877,,,
12/50,11644,,,
1/51,12452,,,
2/51,8813,,,
3/51,9055,,,
4/51,8178,,,
5/51,12113,,,
6/51,3959,,,
7/51,10139,,,
8/51,47820,,,
9/51,24794,,,
10/51,16355,,,
11/51,9847,,,
12/51,23167,,,
1/52,148001,,,
2/52,22796,,,
3/52,43282,,,
4/52,214202,,,
5/52,92613,,,
6/52,12740,,,
7/52,7194,,,
8/52,19771,,,
9/52,34912,,,
10/52,6495,,,
11/52,11315,,,
12/52,18883,,,
1/53,16675,,,
2/53,11441,,,
3/53,23495,,,
4/53,12266,,,
5/53,5125,,,
6/53,4331,,,
7/53,26538,,,
8/53,34866,,,
9/53,4702,,,
10/53,7705,,,
11/53,10920,,,
12/53,11963,,,
1/54,16548,,,
2/54,13727,,,
3/54,36057,,,
4/54,44289,,,
5/54,10231,,,
6/54,6254,,,
7/54,47423,,,
8/54,16484,,,
9/54,39111,,,
10/54,16252,,,
11/54,10123,,,
12/54,14579,,,
1/55,12999,,,
2/55,13939,,,
3/55,13320,,,
4/55,6405,,,
5/55,5435,,,
6/55,39655,,,
7/55,23359,,,
8/55,184292,,,
9/55,8360,,,
10/55,5804,,,
11/55,11194,,,
12/55,14847,,,
1/56,16515,,,
2/56,14416,,,
3/56,13572,,,
4/56,7398,,,
5/56,4905,,,
6/56,4663,,,
7/56,10700,,,
8/56,14304,,,
9/56,3841,,,
10/56,4808,,,
11/56,6819,,,
12/56,8223,,,
1/57,52971,,,
2/57,56760,,,
3/57,36546,,,
4/57,8737,,,
5/57,16299,,,
6/57,9303,,,
7/57,11641,,,
8/57,66213,,,
9/57,13404,,,
10/57,33032,,,
11/57,40390,,,
12/57,17860,,,
1/58,10950,,,
2/58,26586,,,
3/58,76677,,,
4/58,110344,,,
5/58,72250,,,
6/58,7643,,,
7/58,7158,,,
8/58,31722,,,
9/58,66490,,,
10/58,19071,,,
11/58,11767,,,
12/58,10654,,,
1/59,11602,,,
2/59,14526,,,
3/59,11888,,,
4/59,7113,,,
5/59,4377,,,
6/59,3907,,,
7/59,4407,,,
8/59,53850,,,
9/59,4953,,,
10/59,11837,,,
11/59,48288,,,
12/59,28827,,,
1/60,30439,,,
2/60,20031,,,
3/60,100405,,,
4/60,24796,,,
5/60,5083,,,
6/60,4166,,,
7/60,3872,,,
8/60,3799,,,
9/60,6563,,,
10/60,19746,,,
11/60,13951,,,
12/60,9010,,,
1/61,8380,,,
2/61,8094,,,
3/61,11351,,,
4/61,16759,,,
5/61,4086,,,
6/61,4063,,,
7/61,9905,,,
8/61,37250,,,
9/61,35616,,,
10/61,6456,,,
11/61,12113,,,
12/61,13576,,,
1/62,11339,,,
2/62,81217,,,
3/62,31976,,,
4/62,119280,,,
5/62,10125,,,
6/62,3851,,,
7/62,4106,,,
8/62,3853,,,
9/62,17408,,,
10/62,12460,,,
11/62,10005,,,
12/62,8466,,,
1/63,9790,,,
2/63,12371,,,
3/63,8084,,,
4/63,6398,,,
5/63,4140,,,
6/63,3314,,,
7/63,3565,,,
8/63,59680,,,
9/63,49231,,,
10/63,8505,,,
11/63,11325,,,
12/63,7606,,,
1/64,7367,,,
2/64,8519,,,
3/64,7723,,,
4/64,40888,,,
5/64,14671,,,
6/64,3086,,,
7/64,15110,,,
8/64,119157,,,
9/64,29832,,,
10/64,4284,,,
11/64,7468,,,
12/64,10403,,,
1/65,52010,,,
2/65,21050,,,
3/65,23633,,,
4/65,121119,,,
5/65,41537,,,
6/65,9572,,,
7/65,24906,,,
8/65,16813,,,
9/65,29062,,,
10/65,7192,,,
11/65,27884,,,
12/65,53302,,,
1/66,70268,,,
2/66,17225,,,
3/66,83312,,,
4/66,34375,,,
5/66,6575,,,
6/66,3563,,,
7/66,5471,,,
8/66,21486,,,
9/66,16367,,,
10/66,11661,,,
11/66,9885,,,
12/66,103961,,,
1/67,14100,,,
2/67,10928,,,
3/67,11320,,,
4/67,13140,,,
5/67,20180,,,
6/67,9958,,,
7/67,28746,,,
8/67,97715,,,
9/67,72679,,,
10/67,7770,,,
11/67,9889,,,
12/67,14254,,,
1/68,18114,,,
2/68,58588,,,
3/68,63454,,,
4/68,82869,,,
5/68,29957,,,
6/68,4924,,,
7/68,17409,,,
8/68,55286,,,
9/68,3666,,,
10/68,11614,,,
11/68,8290,,,
12/68,11172,,,
1/69,80202,,,
2/69,44453,,,
3/69,61330,,,
4/69,122681,,,
5/69,85561,,,
6/69,13905,,,
7/69,22354,,,
8/69,15289,,,
9/69,33240,,,
10/69,14311,,,
11/69,14322,,,
12/69,13434,,,
1/70,14648,,,
2/70,9902,,,
3/70,19784,,,
4/70,9134,,,
5/70,5077,,,
6/70,4240,,,
7/70,7751,,,
8/70,24938,,,
9/70,55575,,,
10/70,5821,,,
11/70,11920,,,
12/70,12248,,,
1/71,12002,,,
2/71,10431,,,
3/71,9755,,,
4/71,5452,,,
5/71,9076,,,
6/71,3945,,,
7/71,5067,,,
8/71,85813,,,
9/71,21774,,,
10/71,87370,,,
11/71,17011,,,
12/71,52019,,,
1/72,18552,,,
2/72,10397,,,
3/72,6202,,,
4/72,4149,,,
5/72,3845,,,
6/72,18632,,,
7/72,13290,,,
8/72,19372,,,
9/72,28010,,,
10/72,285918,,,
11/72,26490,,,
12/72,19440,,,
1/73,24461,,,
2/73,42246,,,
3/73,126562,,,
4/73,306415,,,
5/73,294962,,,
6/73,25888,,,
7/73,5051,,,
8/73,6827,,,
9/73,4050,,,
10/73,5673,,,
11/73,11708,,,
12/73,12381,,,
1/74,16119,,,
2/74,10485,,,
3/74,19374,,,
4/74,10031,,,
5/74,4364,,,
6/74,3957,,,
7/74,12504,,,
8/74,11917,,,
9/74,10942,,,
10/74,22482,,,
11/74,25383,,,
12/74,10034,,,
1/75,9658,,,
2/75,10611,,,
3/75,29191,,,
4/75,41323,,,
5/75,21606,,,
6/75,5513,,,
7/75,21183,,,
8/75,13602,,,
9/75,31678,,,
10/75,6435,,,
11/75,7548,,,
12/75,10631,,,
1/76,10904,,,
2/76,32618,,,
3/76,26254,,,
4/76,44806,,,
5/76,19411,,,
6/76,4013,,,
7/76,24477,,,
8/76,8926,,,
9/76,14630,,,
10/76,13904,,,
11/76,7632,,,
12/76,7739,,,
1/77,12993,,,
2/77,8117,,,
3/77,5836,,,
4/77,9362,,,
5/77,6602,,,
6/77,6397,,,
7/77,24444,,,
8/77,44235,,,
9/77,12037,,,
10/77,11188,,,
11/77,7702,,,
12/77,8999,,,
1/78,17445,,,
2/78,28828,,,
3/78,225377,,,
4/78,99396,,,
5/78,32054,,,
6/78,5456,,,
7/78,4347,,,
8/78,4512,,,
9/78,5148,,,
10/78,13125,,,
11/78,54829,,,
12/78,118663,,,
1/79,28526,,,
2/79,66212,,,
3/79,128968,,,
4/79,239320,,,
5/79,120243,,,
6/79,25482,,,
7/79,4631,,,
8/79,13358,,,
9/79,4185,,,
10/79,6570,,,
11/79,13574,,,
12/79,13779,,,
1/80,48122,,,
2/80,269205,,,
3/80,93869,,,
4/80,164353,,,
5/80,130474,,,
6/80,27839,,,
7/80,9393,,,
8/80,12630,,,
9/80,41048,,,
10/80,15451,,,
11/80,17563,,,
12/80,18292,,,
1/81,15530,,,
2/81,14993,,,
3/81,22387,,,
4/81,27883,,,
5/81,14010,,,
6/81,6874,,,
7/81,31727,,,
8/81,18861,,,
9/81,22541,,,
10/81,40501,,,
11/81,12658,,,
12/81,14887,,,
1/82,18884,,,
2/82,37392,,,
3/82,95059,,,
4/82,54763,,,
5/82,25938,,,
6/82,5949,,,
7/82,6499,,,
8/82,60552,,,
9/82,38486,,,
10/82,13599,,,
11/82,22120,,,
12/82,60923,,,
1/83,28909,,,
2/83,39313,,,
3/83,189101,,,
4/83,163543,,,
5/83,163194,,,
6/83,67277,,,
7/83,27985,,,
8/83,48437,,,
9/83,30319,,,
10/83,63946,,,
11/83,23063,,,
12/83,39726,,,
1/84,29161,,,
2/84,16553,,,
3/84,19031,,,
4/84,19110,,,
5/84,14077,,,
6/84,5904,,,
7/84,38384,,,
8/84,97514,,,
9/84,55604,,,
10/84,36658,,,
11/84,14764,,,
12/84,37208,,,
1/85,46591,,,
2/85,39950,,,
3/85,119139,,,
4/85,86895,,,
5/85,41521,,,
6/85,5371,,,
7/85,9033,,,
8/85,11855,,,
9/85,16312,,,
10/85,13277,,,
11/85,25691,,,
12/85,24258,,,
1/86,16046,,,
2/86,28484,,,
3/86,38451,,,
4/86,25400,,,
5/86,11534,,,
6/86,5750,,,
7/86,22063,,,
8/86,16770,,,
9/86,30891,,,
10/86,32760,,,
11/86,26451,,,
12/86,21187,,,
1/87,18572,,,
2/87,23309,,,
3/87,44457,,,
4/87,58793,,,
5/87,20868,,,
6/87,6872,,,
7/87,10948,,,
8/87,38262,,,
9/87,6238,,,
10/87,13548,,,
11/87,69308,,,
12/87,13209,,,
1/88,18222,,,
2/88,48131,,,
3/88,33860,,,
4/88,62349,,,
5/88,29491,,,
6/88,10139,,,
7/88,7400,,,
8/88,53624,,,
9/88,27566,,,
10/88,8207,,,
11/88,10668,,,
12/88,14393,,,
1/89,34537,,,
2/89,15182,,,
3/89,28294,,,
4/89,8757,,,
5/89,3994,,,
6/89,3927,,,
7/89,7394,,,
8/89,29386,,,
9/89,5721,,,
10/89,7850,,,
11/89,8791,,,
12/89,10739,,,
1/90,13124,,,
2/90,9714,,,
3/90,7092,,,
4/90,5260,,,
5/90,3411,,,
6/90,3903,,,
7/90,13368,,,
8/90,15199,,,
9/90,30595,,,
10/90,8462,,,
11/90,8148,,,
12/90,10909,,,
1/91,22910,,,
2/91,10791,,,
3/91,41624,,,
4/91,67594,,,
5/91,8730,,,
6/91,4364,,,
7/91,4092,,,
8/91,6455,,,
9/91,12676,,,
10/91,6117,,,
11/91,9283,,,
12/91,19913,,,
1/92,14138,,,
2/92,33414,,,
3/92,84358,,,
4/92,74466,,,
5/92,29739,,,
6/92,8874,,,
7/92,20504,,,
8/92,51050,,,
9/92,23658,,,
10/92,17807,,,
11/92,16704,,,
12/92,23422,,,
1/93,339283,,,
2/93,230398,,,
3/93,168852,,,
4/93,117624,,,
5/93,89186,,,
6/93,20565,,,
7/93,6479,,,
8/93,15024,,,
9/93,14109,,,
10/93,28970,,,
11/93,24686,,,
12/93,22515,,,
1/94,12941,,,
2/94,15574,,,
3/94,49521,,,
4/94,22801,,,
5/94,15191,,,
6/94,4638,,,
7/94,4997,,,
8/94,9361,,,
9/94,15396,,,
10/94,19480,,,
11/94,13286,,,
12/94,21591,,,
1/95,23594,,,
2/95,86422,,,
3/95,206079,,,
4/95,36526,,,
5/95,70086,,,
6/95,37091,,,
7/95,13041,,,
8/95,11295,,,
9/95,19423,,,
10/95,9747,,,
11/95,19887,,,
12/95,15897,,,
1/96,13898,,,
2/96,21085,,,
3/96,15675,,,
4/96,8190,,,
5/96,6001,,,
6/96,3997,,,
7/96,6731,,,
8/96,6309,,,
9/96,18764,,,
10/96,9746,,,
11/96,17140,,,
12/96,14298,,,
1/97,33102,,,
2/97,17140,,,
3/97,34298,,,
4/97,20225,,,
5/97,8837,,,
6/97,4362,,,
7/97,5757,,,
8/97,26479,,,
9/97,55357,,,
10/97,23167,,,
11/97,10931,,,
12/97,13655,,,
1/98,14800,,,
2/98,20801,,,
3/98,62719,,,
4/98,93855,,,
5/98,74413,,,
6/98,23754,,,
7/98,23470,,,
8/98,13724,,,
9/98,49128,,,
10/98,22777,,,
11/98,24786,,,
12/98,19188,,,
1/99,16095,,,
2/99,14869,,,
3/99,8669,,,
4/99,13386,,,
5/99,11767,,,
6/99,7090,,,
7/99,28787,,,
8/99,53148,,,
9/99,49164,,,
10/99,8826,,,
11/99,8915,,,
12/99,10464,,,
1/00,11291,,,
2/00,13388,,,
3/00,17740,,,
4/00,16303,,,
5/00,8181,,,
6/00,4710,,,
7/00,4473,,,
8/00,11599,,,
9/00,9573,,,
10/00,36823,,,
11/00,18559,,,
12/00,9953,,,
1/01,11562,,,
2/01,10619,,,
3/01,29182,,,
4/01,26617,,,
5/01,14010,,,
6/01,5084,,,
7/01,5834,,,
8/01,33535,,,
9/01,8948,,,
10/01,7814,,,
11/01,8435,,,
12/01,11493,,,
1/02,9571,,,
2/02,6844,,,
3/02,7343,,,
4/02,6286,,,
5/02,4411,,,
6/02,3288,,,
7/02,6498,,,
8/02,5810,,,
9/02,79070,,,
10/02,9465,,,
11/02,11743,,,
12/02,10941,,,
1/03,9952,,,
2/03,11644,,,
3/03,25316,,,
4/03,10911,,,
5/03,4431,,,
6/03,3341,,,
7/03,4157,,,
8/03,20350,,,
9/03,14551,,,
10/03,16945,,,
11/03,10599,,,
12/03,10936,,,
1/04,9529,,,
2/04,12887,,,
3/04,18181,,,
4/04,9955,,,
5/04,4264,,,
6/04,3632,,,
7/04,10966,,,
8/04,17640,,,
9/04,22009,,,
10/04,49866,,,
11/04,29513,,,
12/04,22866,,,
1/05,195940,,,
2/05,160140,,,
3/05,92112,,,
4/05,95634,,,
5/05,123737,,,
6/05,40911,,,
7/05,15236,,,
8/05,35925,,,
9/05,13482,,,
10/05,14701,,,
11/05,10792,,,
12/05,12035,,,
1/06,16669,,,
2/06,16637,,,
3/06,26892,,,
4/06,28123,,,
5/06,17733,,,
6/06,6010,,,
7/06,13337,,,
8/06,69360,,,
9/06,20213,,,
10/06,48861,,,
11/06,8982,,,
12/06,9449,,,
1/07,9068,,,
2/07,12690,,,
3/07,16772,,,
4/07,8766,,,
5/07,6043,,,
6/07,3821,,,
7/07,21313,,,
8/07,70169,,,
9/07,15522,,,
10/07,11181,,,
11/07,13679,,,
12/07,47043,,,
1/08,38986,,,
2/08,81155,,,
3/08,76179,,,
4/08,25619,,,
5/08,7925,,,
6/08,4810,,,
7/08,15919,,,
8/08,18615,,,
9/08,11111,,,
10/08,7932,,,
11/08,8951,,,
12/08,10774,,,
1/09,14816,,,
2/09,17625,,,
3/09,49451,,,
4/09,15625,,,
5/09,16137,,,
6/09,6807,,,
7/09,8875,,,
8/09,4954,,,
9/09,8166,,,
10/09,7621,,,
11/09,8186,,,
12/09,11210,,,
1/10,24999,,,
2/10,16839,,,
3/10,55919,,,
4/10,91403,,,
5/10,35367,,,
6/10,12910,,,
7/10,15572,,,
8/10,69163,,,
9/10,21546,,,
10/10,28415,,,
11/10,10552,,,
12/10,136159,,,
1/11,21938,,,
2/11,12996,,,
3/11,38565,,,
4/11,69737,,,
5/11,75865,,,
6/11,24961,,,
7/11,9846,,,
8/11,10408,,,
9/11,26655,,,
10/11,17011,,,
11/11,12274,,,
12/11,14166,,,
1/12,10888,,,
2/12,10956,,,
3/12,17136,,,
4/12,11370,,,
5/12,7028,,,
6/12,4547,,,
7/12,17365,,,
8/12,43576,,,
9/12,26139,,,
10/12,9619,,,
11/12,12029,,,
12/12,12854,,,
1/13,17544,,,
2/13,17288,,,
3/13,35114,,,
4/13,11319,,,
5/13,5405,,,
6/13,4502,,,
7/13,40499,,,
8/13,36421,,,
9/13,56165,,,
10/13,7994,,,
11/13,25729,,,
12/13,14084,,,
1/14,10221,,,
2/14,9082,,,
3/14,12933,,,
4/14,6885,,,
5/14,5538,,,
6/14,4260,,,
7/14,8011,,,
8/14,18874,,,
9/14,39315,,,
10/14,19159,,,
11/14,10372,,,
12/14,14292,,,
1/15,12702,,,
2/15,18761,,,
3/15,26828,,,
4/15,5978,,,
5/15,7124,,,
6/15,7782,,,
7/15,21799,,,
8/15,28141,,,
9/15,19871,,,
10/15,29555,,,
11/15,11621,,,
12/15,10786,,,
1/16,12524,,,
2/16,24455,,,
3/16,14963,,,
4/16,15236,,,
5/16,11539,,,
6/16,5266,,,
7/16,6142,,,
8/16,28462,,,
9/16,15328,,,
10/16,12138,,,
11/16,14000,,,
12/16,25953,,,
1/17,36685,,,
2/17,61133,,,
3/17,56936,,,
4/17,35063,,,
5/17,16388,,,
6/17,6141,,,
7/17,19266,,,
8/17,19208,,,
9/17,8011,,,
10/17,7202,,,
11/17,8168,,,
12/17,8587,,,

